drug_id,generic_name,brand_name
1,CEFPROZIL,CEFPROZIL
2,"PNEUMOCOCCAL VACCINE, POLYVALENT",PNEUMOCOCCAL VACCINE POLYVALENT NOS
3,PNEUMOCOCCAL 13-VALENT CONJUGATE VACCINE,PNEUMOCOCCAL 13-VALENT CONJUGATE VACCINE
4,PNEUMOCOCCAL 7-VALENT CONJUGATE VACCINE (DIPHTHERIA CRM197 PROTEIN),PNEUMOCOCCAL 7-VALENT CONJUGATE VACCINE DIPHTHERIA CRM197 PROTEIN
5,"PNEUMOCOCCAL VACCINE, POLYVALENT 23",PNEUMOVAX 23
6,DIMENHYDRINATE,DIMENHYDRINATE
7,OMALIZUMAB,XOLAIR
8,CICLESONIDE,ALVESCO
9,BUDESONIDE\FORMOTEROL FUMARATE DIHYDRATE,SYMBICORT
10,ALBUTEROL SULFATE,VENTOLIN
11,MONTELUKAST,MONTELUKAST
12,LEVONORGESTREL,MIRENA
13,VALGANCICLOVIR,VALGANCICLOVIR
14,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL
15,CYCLOSPORINE,CYCLOSPORINE
16,PREDNISOLONE,PREDNISOLONE
17,LAPINE T-LYMPHOCYTE IMMUNE GLOBULIN,THYMOGLOBULINE
18,TOCILIZUMAB,ACTEMRA
19,ACETAZOLAMIDE,DIAMOX SEQUELS
20,COVID-19 VACCINE,COVID-19 VACCINE NOS
21,DICLOFENAC,DICLOFENAC
22,BIMATOPROST,LUMIGAN
23,METHOTREXATE,METHOTREXATE
24,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM
25,SULFASALAZINE,SULFASALAZINE
26,HYDROXYCHLOROQUINE SULFATE,PLAQUENIL
27,,CALCIUM CARBOCAL
28,PREGABALIN,PREGABALIN
29,OXAZEPAM,OXAZEPAM
30,TEMAZEPAM,TEMAZEPAM
31,QUETIAPINE,QUETIAPINE
32,LEVOMEPROMAZINE,LEVOMEPROMAZINE
33,LEVOFLOXACIN,LEVOFLOXACIN
34,METFORMIN HYDROCHLORIDE,METFORMIN
35,GLICLAZIDE,GLICLAZIDE
36,HYDROCHLOROTHIAZIDE\OLMESARTAN MEDOXOMIL,HYDROCHLOROTHIAZIDEOLMESARTAN MEDOXOMIL
37,DELAPRIL HYDROCHLORIDE\INDAPAMIDE,DELAPRIL HYDROCHLORIDEINDAPAMIDE
38,BISOPROLOL,BISOPROLOL
39,SIMVASTATIN,SIMVASTATIN
40,MEROPENEM,MEROPENEM
41,ENOXAPARIN SODIUM,ENOXAPARIN SODIUM
42,TOCILIZUMAB,ACTEMRA ACTPEN
43,IBUPROFEN,IBUPROFEN
44,"ESTROGENS, CONJUGATED",PREMARIN
45,LEVOTHYROXINE SODIUM,SYNTHROID
46,TRAMADOL,TRAMADOL
47,LEVOTHYROXINE,LEVOTHYROXINE
48,DULOXETINE,DULOXETINE
49,ICATIBANT ACETATE,FIRAZYR
50,LANADELUMAB,LANADELUMAB
51,PREDNISONE,PREDNISONE
52,CALCIUM,CALCIUM
53,FOLIC ACID,FOLIC ACID
54,AMITRIPTYLINE,AMITRIPTYLINE
55,VITAMIN D NOS,VITAMIN D
56,METOPROLOL,METOPROLOL
57,AMPICILLIN SODIUM\SULBACTAM SODIUM,AMPICILLIN SODIUMSULBACTAM SODIUM
58,ASPIRIN,ASPIRIN
59,FUROSEMIDE,FUROSEMIDE
60,DIGITOXIN,DIGITOXIN
61,RISPERIDONE,RISPERIDONE
62,PALIPERIDONE,INVEGA
63,CELECOXIB,CELEBREX
64,GABAPENTIN,GABAPENTIN
65,HYDROMORPHONE,HYDROMORPHONE
66,DEXAMETHASONE,MAXIDEX
67,NABILONE,CESAMET
68,DENOSUMAB,DENOSUMAB
69,ALFACALCIDOL,ALFACALCIDOL
70,,LACALMIN
71,FEBUXOSTAT,FEBUXOSTAT
72,LANSOPRAZOLE,LANSOPRAZOLE
73,AMLODIPINE BESYLATE,AMLODIPINE
74,PRAVASTATIN,PRAVASTATIN
75,METRONIDAZOLE\METRONIDAZOLE HYDROCHLORIDE,FLAGYL
76,NAPROXEN SODIUM,ALEVE
77,ALPRAZOLAM,ALPRAZOLAM
78,OLANZAPINE,OLANZAPINE
79,TRAZODONE HYDROCHLORIDE,TRAZODONE
80,DIMENHYDRINATE,GRAVOL
81,HYDROXYCHLOROQUINE,HYDROXYCHLOROQUINE
82,LEFLUNOMIDE,LEFLUNOMIDE
83,OXYBUTYNIN,OXYBUTYNIN
84,DICLOFENAC SODIUM,VOLTAREN
85,,TYLENOL NIGHT
86,,VIMNOFAXIN
87,ETANERCEPT,ENBREL
88,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE
89,REPAGLINIDE,REPAGLINIDE
90,ANAGRELIDE,ANAGRELIDE
91,SITAGLIPTIN PHOSPHATE,JANUVIA
92,SIMVASTATIN,ZOCOR
93,BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE
94,ACEBUTOLOL,ACEBUTOLOL
95,ALISKIREN,ALISKIREN
96,ALISKIREN HEMIFUMARATE,ALISKIREN HEMIFUMARATE
97,SITAGLIPTIN,SITAGLIPTIN
98,RISEDRONIC ACID,RISEDRONIC ACID
99,PRAMIPEXOLE,PRAMIPEXOLE
100,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE
